0	<nul>
1	1
2	0
3	3
4	2
5	5
6	4
7	7
8	6
9	9
10	8
11	A
12	C
13	B
14	E
15	D
16	G
17	F
18	I
19	H
20	K
21	J
22	M
23	L
24	O
25	N
26	Q
27	P
28	S
29	R
30	U
31	T
32	W
33	V
34	Y
35	X
36	Z
37	a
38	c
39	b
40	e
41	d
42	g
43	f
44	i
45	h
46	k
47	j
48	m
49	l
50	o
51	n
52	q
53	p
54	s
55	r
56	u
57	t
58	w
59	v
60	y
61	x
62	z
